OBJECTID,Name,Address,City,State,Zip,Status,x,y
54864,CVS Pharmacy #09785,2006 W Ave J,LANCASTER,CA,93536,open,-13154190.8602635,4121560.52092878
54866,CVS Pharmacy #09748,3670 SOUTH NOGALES STREET,WEST COVINA,CA,91792,open,-13123062.8136919,4030215.63263925
54869,CVS Pharmacy #09496,2900 N Sepulveda Blvd,MANHATTAN BEACH,CA,90266,open,-13179608.9961938,4014954.26380254
54870,CVS Pharmacy #09501,2655 SANTA ANA STREET,SOUTH GATE,CA,90280,open,-13160532.731654,4024031.4070607
54872,CVS Pharmacy #09605,10181 RESEDA,NORTHRIDGE,CA,91324,open,-13195408.4602026,4063288.25309728
54880,CVS Pharmacy #08892,5822 SOUTH VERMONT AVENUE,LOS ANGELES,CA,90044,open,-13167931.3589706,4027311.66469568
54882,CVS Pharmacy #08895,775 E FOOTHILL BOULEVARD,POMONA,CA,91767,open,-13106474.3171324,4043211.65039184
54884,CVS Pharmacy #09733,435 E Arrow Hwy,GLENDORA,CA,917405607,open,-13119662.6711651,4043288.01571856
54889,CVS Pharmacy #09775,864 SWARTHMORE AVENUE,PACIFIC PALISADES,CA,90272,open,-13194239.6055492,4035058.02956951
54895,CVS Pharmacy #09694,900 N LAKE,PASADENA,CA,91104,open,-13150363.3622115,4050426.27035995
54896,CVS Pharmacy #09495,220 EAST COMPTON BOULEVARD,COMPTON,CA,90220,open,-13160373.3221432,4014716.75238872
54897,CVS Pharmacy #09596,5960 PACIFIC BOULEVARD,HUNTINGTON PARK,CA,90255,open,-13160555.3295106,4027264.13745334
54898,CVS PHARMACY #08853,1645 EAST 103RD STREET,LOS ANGELES,CA,90002,open,-13162932.000639,4021392.42089916
54901,CVS Pharmacy #09488,11851 ARTESIA BOULEVARD,ARTESIA,CA,90701,open,-13144754.4183484,4011786.28614195
54902,CVS Pharmacy #09489,13303 EAST SOUTH STREET,CERRITOS,CA,90703,open,-13141093.4542547,4010030.16290104
54911,CVS Pharmacy #09566,596 LONG BEACH BOULEVARD,LONG BEACH,CA,90802,open,-13156721.4862477,3998459.94247619
54914,CVS Pharmacy #09791,2532 W VALLEY BLVD,ALHAMBRA,CA,91803,open,-13152516.0585245,4039119.86383557
54916,CVS Pharmacy #09531,4501 WEST SLAUSON AVENUE,LOS ANGELES,CA,90043,open,-13175136.1790537,4027338.38207421
54917,CVS Pharmacy #09786,6588 FOOTHILL BLVD,TUJUNGA,CA,91042,open,-13166382.6822146,4061881.43639716
54918,CVS Pharmacy #09590,6000 ATLANTIC AVENUE,LONG BEACH,CA,90805,open,-13156235.3540314,4010576.58477169
54919,CVS Pharmacy #09730,2141 SOUTH HACIENDA BOULEVARD,HACIENDA HEIGHTS,CA,91745,open,-13132263.9262035,4028150.40541687
54921,CVS Pharmacy #09697,23841 MALIBU ROAD,MALIBU,CA,90265,open,-13212948.0704914,4033398.66809801
