ZIP Code,County,Hospitals,Nursing Homes,Public Health Departments,Pharmacies
04107,CUMBERLAND,0,3,0,0
04110,CUMBERLAND,0,2,0,0
04210,ANDROSCOGGIN,0,76,0,0
04217,OXFORD,0,1,0,0
04221,OXFORD,0,1,0,0
04222,ANDROSCOGGIN,0,1,0,0
04236,ANDROSCOGGIN,0,2,0,0
04238,OXFORD,0,1,0,0
04239,FRANKLIN,0,6,0,0
04240,ANDROSCOGGIN,1,105,0,0
04243,ANDROSCOGGIN,1,0,0,0
04250,ANDROSCOGGIN,0,6,0,0
04252,ANDROSCOGGIN,0,3,0,0
04256,ANDROSCOGGIN,0,2,0,0
04257,OXFORD,0,4,0,0
04258,ANDROSCOGGIN,0,4,0,0
04259,KENNEBEC,0,1,0,0
04260,CUMBERLAND,0,9,0,0
04263,ANDROSCOGGIN,0,1,0,0
04268,OXFORD,1,7,0,0
04270,OXFORD,0,3,0,0
04276,OXFORD,1,5,0,0
04280,ANDROSCOGGIN,0,2,0,0
04281,OXFORD,0,9,0,0
04282,ANDROSCOGGIN,0,5,0,0
04287,SAGADAHOC,0,3,0,0
04289,OXFORD,0,3,0,0
04294,FRANKLIN,0,1,0,0
04330,KENNEBEC,4,39,1,0
04341,LINCOLN,0,1,0,0
04344,KENNEBEC,0,4,0,0
04345,KENNEBEC,0,12,0,0
04346,KENNEBEC,0,2,0,0
04347,KENNEBEC,0,5,0,0
04348,LINCOLN,0,1,0,0
04350,KENNEBEC,0,2,0,0
04351,KENNEBEC,0,1,0,0
04355,KENNEBEC,0,1,0,0
04357,SAGADAHOC,0,1,0,0
04358,KENNEBEC,0,2,0,0
04363,KENNEBEC,0,3,0,0
04364,KENNEBEC,0,5,0,0
04401,PENOBSCOT,4,95,1,0
04406,PISCATAQUIS,0,2,0,0
04412,PENOBSCOT,0,26,0,0
04416,HANCOCK,0,7,0,0
04419,PENOBSCOT,0,2,0,0
04422,PENOBSCOT,0,1,0,0
04424,WASHINGTON,0,2,0,0
04426,PISCATAQUIS,1,10,0,0
04427,PENOBSCOT,0,3,0,0
04428,PENOBSCOT,0,8,0,0
04429,PENOBSCOT,0,6,0,0
04430,PENOBSCOT,0,1,0,0
04438,WALDO,0,2,0,0
04441,PISCATAQUIS,1,0,0,0
04444,PENOBSCOT,0,28,0,0
04448,PENOBSCOT,0,1,0,0
04455,PENOBSCOT,0,1,0,0
04457,PENOBSCOT,1,4,0,0
04461,PENOBSCOT,0,5,0,0
04462,PENOBSCOT,1,1,0,0
04463,PISCATAQUIS,0,1,0,0
04468,PENOBSCOT,0,10,0,0
04473,PENOBSCOT,0,7,0,0
04474,PENOBSCOT,0,1,0,0
04496,WALDO,0,3,0,0
04530,SAGADAHOC,0,9,0,0
04537,LINCOLN,0,1,0,0
04538,LINCOLN,1,3,0,0
04543,LINCOLN,1,5,0,0
04551,LINCOLN,0,1,0,0
04553,LINCOLN,0,10,0,0
04556,LINCOLN,0,1,0,0
